ChemGroup,Chem,LeBas_Molar_Volume,delt_uow,Kow,log_KowTS,cs_ng.g,cd_ng.g,cp_ng.g,kM,beta,betap
Chlordane,alphaChlordane,340.5,-25,1580000,NA,0.5,NA,NA,0,0.035,0.35
Chlordane,gammaChlordane,340.5,-25,1.86E+06,NA,0.5,NA,NA,0,0.035,0.35
Chlordane,alphaNonachlor,361.4,-25,5.01E+05,NA,0.49,NA,NA,0,0.035,0.35
Chlordane,gammaNonachlor,361.4,-25,5.01E+05,NA,0.5,NA,NA,0,0.035,0.35
Chlordane,Oxychlordane,250,-25,3.98E+02,NA,0.23,NA,NA,0,0.035,0.35
Dieldrin,Dieldrin,332.2,-25,3.02E+05,NA,0.5,NA,NA,0,0.035,0.35
DDT,op-DDD,312.6,-25,2.19E+05,NA,0.189302326,9.305665792,NA,0,0.035,0.35
DDT,op-DDE,305.2,-25,4.27E+05,NA,6.704795349,44.88585023,63.87,0,0.035,0.35
DDT,op-DDT,333.5,-25,5.01E+05,NA,1.2,NA,15.68,0,0.035,0.35
DDT,pp-DDD,312.6,-25,2.14E+06,NA,3.243651395,19.45333669,NA,0,0.035,0.35
DDT,pp-DDE,305.2,-25,8.51E+06,NA,44.74623256,306.1044638,NA,0,0.035,0.35
DDT,pp-DDT,333.5,-25,2.45E+06,NA,1.099302326,8.092710587,NA,0,0.035,0.35
PCB,PCB 8,226.4,-22.7,1.32E+05,NA,0.5,NA,NA,0,0.035,0.35
PCB,PCB 11,226.4,-28,1.86E+05,NA,0.36,NA,47.65,0,0.035,0.35
PCB,PCB 18,247.3,-25,2.00E+05,NA,0.101054884,13.185837,NA,0,0.035,0.35
PCB,PCB 27,247.3,-28,2.51E+05,NA,0.44,NA,NA,0,0.035,0.35
PCB,PCB 28,247.3,-26.3,4.57E+05,NA,0.166863488,11.43476661,NA,0,0.035,0.35
PCB,PCB 29,247.3,-28,3.98E+05,NA,0.72,NA,NA,0,0.035,0.35
PCB,PCB 31,247.3,-25.9,6.03E+05,NA,0.13606575,6.363272245,NA,0,0.035,0.35
PCB,PCB 33,247.3,-26,4.47E+05,NA,0.36,NA,NA,0,0.035,0.35
PCB,PCB 37,247.3,-28,6.03E+05,NA,0.42,NA,NA,0,0.035,0.35
PCB,PCB 44,268.2,-26,6.61E+05,NA,0.405351163,16.2247466,NA,0,0.035,0.35
PCB,PCB 49,268.2,-27,8.91E+05,NA,0.5,NA,NA,0,0.035,0.35
PCB,PCB 52,268.2,-27.3,8.13E+05,NA,0.5,17.33,NA,0,0.035,0.35
PCB,PCB 56,268.2,-30,1.05E+06,NA,0.54,NA,NA,0,0.035,0.35
PCB,PCB 60,268.2,-30,1.32E+06,NA,0.61,65.32,140.8,0,0.035,0.35
PCB,PCB 64,268.2,-28,6.17E+05,NA,0.38,NA,NA,0,0.035,0.35
PCB,PCB 66,268.2,-28,1.02E+06,NA,1.05,NA,NA,0,0.035,0.35
PCB,PCB 70,268.2,-28,1.26E+06,NA,1.35,NA,NA,0,0.035,0.35
PCB,PCB 74,268.2,-28,1.29E+06,NA,0.194457209,3.470400349,NA,0,0.035,0.35
PCB,PCB 77,268.2,-28,1.82E+06,NA,1.12,NA,NA,0,0.035,0.35
PCB,PCB 81,268.2,-28,1.78E+06,NA,1.09,NA,NA,0,0.035,0.35
PCB,PCB 87,289.1,-28,2.24E+06,NA,1.4,NA,NA,0,0.035,0.35
PCB,PCB 95,289.1,-28,1.15E+06,NA,0.77,NA,NA,0,0.035,0.35
PCB,PCB 97,289.1,-28,1.86E+06,NA,0.3636925,3.681928399,NA,0,0.035,0.35
PCB,PCB 99,289.1,-28,2.29E+06,NA,0.617086047,5.897746631,NA,0,0.035,0.35
PCB,PCB 101,289.1,-23.8,2.14E+06,NA,0.181250006,NA,NA,0,0.035,0.35
PCB,PCB 105,289.1,-28.6,6.61E+06,NA,0.454006977,1.599129689,NA,0,0.035,0.35
PCB,PCB 110,289.1,-28,2.04E+06,NA,1.601034884,9.244741774,NA,0,0.035,0.35
PCB,PCB 114,289.1,-28,4.47E+06,NA,0.33,NA,NA,0,0.035,0.35
PCB,PCB 118,289.1,-28.5,4.90E+06,NA,0.275000006,NA,17.98,0,0.035,0.35
PCB,PCB 119,289.1,-28,2.51E+06,NA,0.41,NA,NA,0,0.035,0.35
PCB,PCB 123,289.1,-28,4.37E+06,NA,0.63,NA,NA,0,0.035,0.35
PCB,PCB 126,289.1,-28,5.89E+06,NA,0.38,NA,NA,0,0.035,0.35
PCB,PCB 128,310,-28,6.17E+06,NA,0.71,96.32,NA,0,0.035,0.35
PCB,PCB 132,310,-25,3.47E+06,NA,0.33,NA,NA,0,0.035,0.35
PCB,PCB 137,310,-28,6.76E+06,NA,0.56,165.6,NA,0,0.035,0.35
PCB,PCB 138,310,-25,1.66E+07,NA,0.25384615,NA,NA,0,0.035,0.35
PCB,PCB 141,310,-25,5.89E+06,NA,0.29,NA,27.86,0,0.035,0.35
PCB,PCB 146,310,-28,7413102.413,NA,1.01,NA,NA,0,0.035,0.35
PCB,PCB 149,310,-25,4168693.835,NA,1.25,NA,NA,0,0.035,0.35
PCB,PCB 151,310,-25,3981071.706,NA,0.215226512,1.879261719,NA,0,0.035,0.35
PCB,PCB 153,310,-31.1,7413102.413,NA,1.39244,5.251926401,NA,0,0.035,0.35
PCB,PCB 156,310,-23,10232929.92,NA,0.148466047,0.319787514,NA,0,0.035,0.35
PCB,PCB 157,310,-28,15135612.48,NA,0.56,NA,NA,0,0.035,0.35
PCB,PCB 158,310,-23,7413102.413,NA,1.3,NA,NA,0,0.035,0.35
PCB,PCB 167,310,-28,19054607.18,NA,0.74,NA,NA,0,0.035,0.35
PCB,PCB 168,310,-28,12882495.52,NA,0.21,NA,NA,0,0.035,0.35
PCB,PCB 169,310,-28,26302679.92,NA,1.11,NA,NA,0,0.035,0.35
PCB,PCB 170,330.9,-25,15135612.48,NA,0.330709302,0.569421342,NA,0,0.035,0.35
PCB,PCB 174,330.9,-28,10715193.05,NA,0.322745,0.894510598,NA,0,0.035,0.35
PCB,PCB 177,330.9,-28,10232929.92,NA,0.121874884,0.522629476,NA,0,0.035,0.35
PCB,PCB 180,330.9,-29.1,14454397.71,NA,0.697543256,1.495032452,NA,0,0.035,0.35
PCB,PCB 183,330.9,-28,13182567.39,NA,0.112256047,0.451321306,NA,0,0.035,0.35
PCB,PCB 187,330.9,-28,12302687.71,NA,0.7125,NA,NA,0,0.035,0.35
PCB,PCB 189,330.9,-28,19952623.15,NA,0.64,NA,NA,0,0.035,0.35
PCB,PCB 194,351.8,-28,57543993.73,NA,0.19812907,0.238347374,NA,0,0.035,0.35
PCB,PCB 195,351.8,-28,28183829.31,NA,0.066266,0.10184514,NA,0,0.035,0.35
PCB,PCB 198,351.8,-28,26915348.04,NA,0.45,NA,NA,0,0.035,0.35
PCB,PCB 199,351.8,-28,15848931.92,NA,0.68,NA,NA,0,0.035,0.35
PCB,PCB 200,351.8,-28,18620871.37,NA,0.77,NA,NA,0,0.035,0.35
PCB,PCB 201,351.8,-28,32359365.69,NA,0.015007186,0.04712185,NA,0,0.035,0.35
PCB,PCB 203,351.8,-28,33884415.61,NA,1.15,NA,NA,0,0.035,0.35
PCB,PCB 206,372.7,-28,63095734.45,NA,1.02,NA,125.7,0,0.035,0.35
PCB,PCB 209,393.6,-28,151356124.8,NA,0.86,NA,NA,0,0.035,0.35
